Dia,Macho,Hembra,Discrepancia
2018-01-11,24,21,32.39862626245934
2018-01-11,24,22,70.32394590583907
2018-01-11,24,23,64.14032624678
2018-01-11,24,25,69.84912948413657
2018-01-11,24,27,33.432288927219425
2018-01-11,24,29,33.4222618662104
2018-01-11,24,31,58.58853690746593
2018-01-11,24,32,29.243238258299392
2018-01-11,26,10,82.76422416077524
2018-01-11,26,14,22.151435707370908
2018-01-11,26,21,62.83642385838658
2018-01-11,26,22,17.412329158639732
2018-01-11,26,23,75.26768624152739
2018-01-11,26,25,15.1770014368191
2018-01-11,26,27,85.33351382773428
2018-01-11,26,29,80.97735635533697
2018-01-11,26,31,31.505241354168863
2018-01-11,26,32,77.71159788133099
2018-01-11,28,10,58.14807566370443
2018-01-11,28,14,39.13716334364957
2018-01-11,28,21,34.25188564608134
2018-01-11,28,22,51.014606852953015
2018-01-11,28,23,47.55893037738763
2018-01-11,28,25,45.3986101913954
2018-01-11,28,27,71.56872565513548
2018-01-11,28,29,72.1534560350647
2018-01-11,28,31,21.014769619314716
2018-01-11,28,32,67.2021274033209
2018-01-11,30,10,69.65369856194796
2018-01-11,30,14,59.363103809530784
2018-01-11,30,21,38.35876421971961
2018-01-11,30,22,54.247529498497194
2018-01-11,30,23,48.84488900782484
2018-01-11,30,25,53.308859211005796
2018-01-11,30,27,81.82228726731783
2018-01-11,30,29,83.13433720928505
2018-01-11,30,31,27.178364092899205
2018-01-11,30,32,82.67081191155452
2018-01-11,33,10,32.60569876927895
2018-01-11,33,14,78.51978428187877
2018-01-11,33,21,46.885823931931306
2018-01-11,33,22,81.12932407406936
2018-01-11,33,23,79.42804658840032
2018-01-11,33,25,80.86358518262992
2018-01-11,33,27,31.99456881599111
2018-01-11,33,29,21.21746004009909
2018-01-11,33,31,76.29054382102278
2018-01-11,33,32,15.245368654300723
2018-01-11,34,10,24.89375126260318
2018-01-11,34,14,84.07064240925217
2018-01-11,34,21,55.599785384485344
2018-01-11,34,22,84.57126771261973
2018-01-11,34,23,89.24683461169127
2018-01-11,34,25,84.80738562627307
2018-01-11,34,27,14.494600897100712
2018-01-11,34,29,7.5890253920810835
2018-01-11,34,31,82.96048427103932
2018-01-11,34,32,32.22140968982165
2018-01-12,11,10,14.524273966103804
2018-01-12,11,14,60.72967795937279
2018-01-12,11,21,22.639828376693494
2018-01-12,11,22,66.22079941921281
2018-01-12,11,23,32.6898309645882
