date,date_index,group
2018-01-10 12:02:30,201,"[33, 14, 22, 32]"
2018-01-10 12:03:00,202,"[17, 14]"
2018-01-10 12:03:00,202,"[33, 32]"
2018-01-10 12:05:30,203,"[17, 14]"
2018-01-10 12:05:30,203,"[33, 32]"
2018-01-10 12:06:00,204,"[17, 14]"
2018-01-10 12:08:30,205,"[17, 14]"
2018-01-10 12:08:30,205,"[24, 32]"
2018-01-10 12:09:00,206,"[24, 23, 33, 32]"
2018-01-10 12:11:30,207,"[24, 33, 32]"
2018-01-10 12:12:00,208,"[24, 33, 32]"
2018-01-10 12:14:30,209,"[24, 33, 14, 32]"
2018-01-10 12:15:00,210,"[24, 33, 32]"
2018-01-10 12:17:30,211,"[24, 32, 33]"
2018-01-10 12:18:00,212,"[24, 33, 32]"
2018-01-10 12:20:30,213,"[24, 33, 32]"
2018-01-10 12:21:00,214,"[24, 33, 32]"
2018-01-10 12:23:30,215,"[24, 33, 32]"
2018-01-10 12:24:00,216,"[17, 33, 24, 32]"
2018-01-10 12:26:30,217,"[24, 33, 32]"
2018-01-10 12:27:00,218,"[24, 32, 33]"
2018-01-10 12:29:30,219,"[24, 33, 32]"
2018-01-10 12:30:00,220,"[24, 29, 33, 32]"
2018-01-10 12:32:30,221,"[24, 33, 32]"
2018-01-10 12:33:00,222,"[24, 23]"
2018-01-10 12:33:00,222,"[33, 29, 27, 34, 32]"
2018-01-10 12:35:30,223,"[24, 23, 22]"
2018-01-10 12:35:30,223,"[33, 29, 27, 34, 32]"
2018-01-10 12:36:00,224,"[24, 23, 22]"
2018-01-10 12:36:00,224,"[33, 29, 27, 34, 32]"
2018-01-10 12:38:30,225,"[24, 23]"
2018-01-10 12:38:30,225,"[34, 29, 27]"
2018-01-10 12:39:00,226,"[24, 23]"
2018-01-10 12:39:00,226,"[33, 29, 34]"
2018-01-10 12:41:30,227,"[24, 23]"
2018-01-10 12:41:30,227,"[33, 29, 34]"
2018-01-10 12:42:00,228,"[20, 24, 23, 21, 14]"
2018-01-10 12:42:00,228,"[33, 29, 27, 34]"
2018-01-10 12:44:30,229,"[20, 24, 23, 21, 14]"
2018-01-10 12:44:30,229,"[33, 29, 27, 34]"
2018-01-10 12:45:00,230,"[24, 29, 27, 23, 21, 14, 34, 33]"
2018-01-10 12:47:30,231,"[24, 29, 27, 23, 21, 14, 34, 33, 32]"
2018-01-10 12:48:00,232,"[24, 29, 27, 23, 21, 14, 34, 33, 32]"
2018-01-10 12:50:30,233,"[24, 29, 27, 23, 21, 14, 34, 33, 32]"
2018-01-10 12:51:00,234,"[24, 14, 21]"
2018-01-10 12:51:00,234,"[33, 29, 34, 32]"
2018-01-10 12:53:30,235,"[33, 31, 29, 27, 21, 14, 34, 32]"
2018-01-10 12:54:00,236,"[20, 14, 21]"
2018-01-10 12:54:00,236,"[33, 29, 27, 34, 32]"
2018-01-10 12:56:30,237,"[20, 29, 27, 21, 14, 34, 33, 32]"
2018-01-10 12:57:00,238,"[33, 29, 27, 21, 14, 34, 32]"
2018-01-10 12:59:30,239,"[20, 29, 27, 24, 21, 14, 34, 33, 32]"
2018-01-10 13:00:00,240,"[20, 31, 29, 27, 24, 21, 14, 34, 33, 32]"
2018-01-10 13:02:30,241,"[20, 31, 30]"
2018-01-10 13:02:30,241,"[34, 29, 27]"
2018-01-10 13:03:00,242,"[34, 29]"
2018-01-10 13:03:00,242,"[14, 31, 27]"
2018-01-10 13:05:30,243,"[34, 29]"
2018-01-10 13:05:30,243,"[14, 27]"
2018-01-10 13:06:00,244,"[20, 30, 27, 24, 14]"
2018-01-10 13:06:00,244,"[34, 29]"
2018-01-10 13:08:30,245,"[20, 14, 27]"
2018-01-10 13:08:30,245,"[34, 29]"
2018-01-10 13:09:00,246,"[20, 29, 27, 14, 34, 33, 32]"
2018-01-10 13:11:30,247,"[20, 29, 21, 14, 34, 33, 32]"
2018-01-10 13:12:00,248,"[20, 29, 27, 21, 14, 34, 33, 32]"
2018-01-10 13:14:30,249,"[24, 23, 14]"
2018-01-10 13:14:30,249,"[33, 29, 34, 32]"
2018-01-10 13:15:00,250,"[24, 31, 29, 23, 34, 33, 32]"
2018-01-10 13:17:30,251,"[24, 31, 29, 23, 34, 33, 32]"
2018-01-10 13:18:00,252,"[24, 31, 29, 22, 34, 33, 32]"
2018-01-10 13:20:30,253,"[24, 31, 30, 29, 34, 33, 32]"
2018-01-10 13:21:00,254,"[24, 33, 29, 32]"
2018-01-10 13:23:30,255,"[34, 14, 29]"
2018-01-10 13:24:00,256,"[34, 29]"
2018-01-10 13:24:00,256,"[14, 27]"
2018-01-10 13:26:30,257,"[33, 29, 34, 32]"
2018-01-10 13:27:00,258,"[24, 29, 27, 34, 32]"
2018-01-10 13:29:30,259,"[20, 29, 27, 24, 23, 22, 21, 14, 34, 33, 32]"
2018-01-10 13:30:00,260,"[20, 29, 27, 34, 33, 32]"
2018-01-10 13:30:00,260,"[24, 23, 14, 22]"
2018-01-10 13:32:30,261,"[20, 29, 27, 34]"
2018-01-10 13:33:00,262,"[34, 29, 27]"
2018-01-10 13:35:30,263,"[20, 29, 27, 34]"
2018-01-10 13:35:30,263,"[14, 22, 31]"
2018-01-10 13:36:00,264,"[33, 31, 29, 27, 22, 14, 34, 32]"
2018-01-10 13:38:30,265,"[33, 31, 29, 27, 14, 34, 32]"
2018-01-10 13:39:00,266,"[24, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 13:41:30,267,"[24, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 13:42:00,268,"[17, 30, 29, 27, 24, 23, 14, 34, 33, 32]"
2018-01-10 13:44:30,269,"[24, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 13:45:00,270,"[24, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 13:47:30,271,"[24, 30, 29, 27, 23, 22, 14, 34, 33, 32]"
2018-01-10 13:48:00,272,"[24, 30, 23, 22, 14]"
2018-01-10 13:48:00,272,"[33, 29, 27, 34, 32]"
2018-01-10 13:50:30,273,"[24, 31, 30, 23, 22, 14]"
2018-01-10 13:50:30,273,"[33, 29, 27, 34, 32]"
2018-01-10 13:51:00,274,"[24, 31, 30, 29, 27, 23, 34, 33, 32]"
2018-01-10 13:53:30,275,"[24, 31, 29, 27, 23, 34, 33, 32]"
2018-01-10 13:54:00,276,"[24, 31, 29, 27, 23, 34, 33, 32]"
2018-01-10 13:56:30,277,"[24, 31, 23, 14]"
2018-01-10 13:56:30,277,"[33, 29, 27, 34, 32]"
2018-01-10 13:57:00,278,"[24, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 13:59:30,279,"[24, 31, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 14:00:00,280,"[24, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 14:02:30,281,"[24, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 14:03:00,282,"[17, 30, 29, 27, 24, 23, 14, 34, 33, 32]"
2018-01-10 14:05:30,283,"[24, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 14:06:00,284,"[24, 29, 27, 23, 14, 34, 33, 32]"
2018-01-10 14:08:30,285,"[24, 29, 23, 14, 34]"
2018-01-10 14:08:30,285,"[33, 27, 32]"
2018-01-10 14:09:00,286,"[24, 23, 34]"
2018-01-10 14:09:00,286,"[33, 32]"
2018-01-10 14:11:30,287,"[24, 23]"
2018-01-10 14:11:30,287,"[33, 27, 32]"
2018-01-10 14:12:00,288,"[24, 31, 30, 23]"
2018-01-10 14:12:00,288,"[33, 27, 32]"
2018-01-10 14:14:30,289,"[24, 31, 30, 23, 34]"
2018-01-10 14:14:30,289,"[33, 27, 32]"
2018-01-10 14:15:00,290,"[24, 31, 27, 23, 34, 33, 32]"
2018-01-10 14:17:30,291,"[24, 29, 23, 10, 34]"
2018-01-10 14:17:30,291,"[33, 27, 32]"
2018-01-10 14:18:00,292,"[11, 29, 27, 24, 23, 20, 17, 10, 34, 33]"
2018-01-10 14:20:30,293,"[11, 29, 27, 24, 23, 20, 17, 10, 34, 33]"
2018-01-10 14:21:00,294,"[11, 29, 27, 24, 23, 21, 20, 17, 10, 34, 33, 32]"
2018-01-10 14:23:30,295,"[11, 29, 27, 24, 23, 21, 20, 17, 10, 34, 33, 32]"
2018-01-10 14:24:00,296,"[11, 31, 29, 27, 24, 23, 21, 17, 10, 34, 33, 32]"
2018-01-10 14:26:30,297,"[11, 31, 29, 27, 24, 21, 20, 10, 34, 33, 32]"
2018-01-10 14:27:00,298,"[20, 27, 24, 21, 33, 32]"
2018-01-10 14:29:30,299,"[11, 27, 10, 33, 32]"
2018-01-10 14:29:30,299,"[17, 31, 21, 20]"
2018-01-10 14:30:00,300,"[11, 27, 10, 33, 32]"
2018-01-10 14:30:00,300,"[17, 14, 21, 20]"
2018-01-10 14:32:30,301,"[11, 27, 21, 20, 17, 10]"
2018-01-10 14:33:00,302,"[11, 27, 24, 10, 33, 32]"
2018-01-10 14:33:00,302,"[20, 21]"
2018-01-10 14:35:30,303,"[11, 31, 27, 24, 20, 10, 33, 32]"
2018-01-10 14:36:00,304,"[11, 31, 27, 20, 14, 10]"
2018-01-10 14:38:30,305,"[11, 31, 27, 21, 20, 14, 10]"
2018-01-10 14:39:00,306,"[11, 27, 10]"
2018-01-10 14:39:00,306,"[20, 31, 14, 21]"
2018-01-10 14:41:30,307,"[11, 31, 27, 21, 20, 14, 10]"
2018-01-10 14:42:00,308,"[11, 10, 27]"
2018-01-10 14:42:00,308,"[20, 31, 14, 21]"
2018-01-10 14:44:30,309,"[11, 27, 21, 20, 14, 10]"
2018-01-10 14:45:00,310,"[11, 10, 27]"
2018-01-10 14:45:00,310,"[20, 14, 21]"
2018-01-10 14:47:30,311,"[11, 31, 27, 21, 20, 14, 10]"
2018-01-10 14:48:00,312,"[11, 27, 21, 20, 10, 33, 32]"
2018-01-10 14:48:00,312,"[14, 31]"
2018-01-10 14:50:30,313,"[20, 31, 27, 21, 14, 33, 32]"
2018-01-10 14:51:00,314,"[20, 27, 33, 32]"
2018-01-10 14:51:00,314,"[14, 31]"
2018-01-10 14:53:30,315,"[20, 27, 21, 14, 33, 32]"
2018-01-10 14:54:00,316,"[11, 27, 21, 20, 14, 32]"
2018-01-10 14:56:30,317,"[11, 27, 20, 10, 32]"
2018-01-10 14:57:00,318,"[11, 31, 27, 20, 14, 10, 33, 32]"
2018-01-10 14:59:30,319,"[11, 27, 10, 33, 32]"
2018-01-10 14:59:30,319,"[14, 31]"
2018-01-10 15:00:00,320,"[11, 27, 10, 33, 32]"
2018-01-10 15:00:00,320,"[14, 31]"
2018-01-10 15:02:30,321,"[33, 31, 27, 14, 10, 32]"
2018-01-10 15:03:00,322,"[11, 31, 27, 20, 14, 10, 32]"
2018-01-10 15:05:30,323,"[20, 27, 10, 33, 32]"
2018-01-10 15:05:30,323,"[14, 31]"
2018-01-10 15:06:00,324,"[20, 27, 10, 33, 32]"
2018-01-10 15:06:00,324,"[14, 31]"
2018-01-10 15:08:30,325,"[11, 10, 27]"
2018-01-10 15:09:00,326,"[20, 27, 10]"
2018-01-10 15:09:00,326,"[14, 31]"
2018-01-10 15:11:30,327,"[20, 10, 24]"
2018-01-10 15:12:00,328,"[11, 24, 20, 10, 32]"
2018-01-10 15:12:00,328,"[14, 22]"
2018-01-10 15:14:30,329,"[11, 20, 10]"
2018-01-10 15:14:30,329,"[14, 22]"
2018-01-10 15:15:00,330,"[11, 29, 27, 22, 20, 14, 10, 34]"
2018-01-10 15:17:30,331,"[11, 27, 21, 20, 10]"
2018-01-10 15:17:30,331,"[34, 22, 29]"
2018-01-10 15:18:00,332,"[11, 27, 24, 21, 20, 10]"
2018-01-10 15:18:00,332,"[34, 22]"
2018-01-10 15:20:30,333,"[11, 27, 21, 20, 10]"
