day,tag,0,0_v1,0
2018-01-17,30,2018-01-17 07:07:30,06:59:30,2018-01-17 07:08:40
2018-01-17,31,2018-01-17 07:51:25,06:08:20,2018-01-17 07:55:45
2018-01-17,32,2018-01-17 06:47:40,06:45:05,2018-01-17 07:38:48
2018-01-17,33,2018-01-17 06:47:09,06:45:05,2018-01-17 07:38:18
2018-01-17,34,2018-01-17 06:08:17,06:07:40,2018-01-17 06:08:51
2018-01-18,14,2018-01-18 03:36:34,03:58:35,2018-01-18 03:50:03
2018-01-18,17,2018-01-18 04:36:04,05:54:30,2018-01-18 04:36:04
2018-01-18,20,2018-01-18 06:06:35,05:44:00,2018-01-18 04:47:46
2018-01-18,21,2018-01-18 02:00:10,05:08:40,2018-01-18 08:06:15
2018-01-18,22,2018-01-18 05:49:03,05:21:05,2018-01-18 05:21:03
2018-01-18,23,2018-01-18 05:54:44,05:49:00,2018-01-18 07:22:42
2018-01-18,24,2018-01-18 00:57:00,00:48:55,2018-01-18 05:43:12
2018-01-18,25,undefined,06:56:20,undefined
2018-01-18,26,undefined,06:56:25,undefined
2018-01-18,27,2018-01-18 06:10:11,02:11:20,2018-01-18 05:18:48
2018-01-18,28,2018-01-18 06:03:37,05:37:30,2018-01-18 05:39:19
2018-01-18,29,2018-01-18 08:14:53,08:12:45,2018-01-18 08:14:38
2018-01-18,30,2018-01-18 08:31:11,08:47:30,2018-01-18 08:49:15
2018-01-18,31,2018-01-18 08:45:47,08:45:25,2018-01-18 08:52:36
2018-01-18,32,2018-01-18 06:01:38,05:21:45,2018-01-18 08:27:49
2018-01-18,33,2018-01-18 05:42:33,04:16:05,2018-01-18 05:38:29
2018-01-18,34,2018-01-18 08:13:40,08:11:50,2018-01-18 08:41:40
2018-01-19,11,undefined,08:07:50,undefined
2018-01-19,14,2018-01-19 05:51:31,05:50:50,2018-01-19 06:16:26
2018-01-19,15,2018-01-19 02:08:56,01:07:20,2018-01-19 00:53:23
2018-01-19,16,undefined,01:13:20,2018-01-19 02:14:01
2018-01-19,17,2018-01-19 05:44:29,05:45:00,2018-01-19 05:49:18
2018-01-19,20,2018-01-19 03:17:43,03:31:45,2018-01-19 05:33:47
2018-01-19,21,2018-01-19 04:55:32,04:45:10,2018-01-19 04:45:46
2018-01-19,22,2018-01-19 01:03:08,02:18:40,2018-01-19 05:40:05
2018-01-19,23,2018-01-19 05:12:14,01:04:15,2018-01-19 04:27:41
2018-01-19,24,2018-01-19 04:11:25,05:33:40,2018-01-19 02:27:44
2018-01-19,27,2018-01-19 05:27:45,04:54:40,2018-01-19 05:26:25
2018-01-19,28,2018-01-19 04:51:27,06:08:20,2018-01-19 03:18:24
2018-01-19,29,2018-01-19 08:59:27,08:16:15,2018-01-19 08:46:53
2018-01-19,31,2018-01-19 06:02:35,06:02:25,2018-01-19 06:11:24
2018-01-19,32,2018-01-19 05:39:26,05:17:00,2018-01-19 05:30:12
2018-01-19,33,2018-01-19 04:23:07,02:36:50,2018-01-19 05:40:31
2018-01-19,34,2018-01-19 08:55:34,08:46:25,2018-01-19 08:57:59
2018-01-20,10,2018-01-20 08:15:01,07:58:30,2018-01-20 08:38:08
2018-01-20,11,2018-01-20 08:01:37,07:57:50,2018-01-20 08:01:37
2018-01-20,14,2018-01-20 01:09:57,01:27:15,2018-01-20 01:12:47
2018-01-20,17,2018-01-20 05:47:35,05:34:55,2018-01-20 05:37:30
2018-01-20,20,2018-01-20 05:02:10,01:10:55,2018-01-20 05:43:13
2018-01-20,21,2018-01-20 05:13:09,02:57:55,2018-01-20 05:46:32
2018-01-20,22,2018-01-20 08:08:06,06:38:30,2018-01-20 08:08:06
2018-01-20,23,2018-01-20 06:47:24,05:14:40,2018-01-20 05:45:36
2018-01-20,24,2018-01-20 05:21:55,05:38:55,2018-01-20 05:44:15
2018-01-20,25,2018-01-20 08:52:08,08:43:20,2018-01-20 08:53:12
2018-01-20,26,2018-01-20 08:44:03,08:40:55,2018-01-20 08:50:23
2018-01-20,27,2018-01-20 05:57:56,05:49:35,2018-01-20 05:47:50
2018-01-20,28,2018-01-20 06:07:13,06:06:25,2018-01-20 06:07:13
2018-01-20,29,2018-01-20 06:25:28,06:24:30,2018-01-20 06:55:37
2018-01-20,31,2018-01-20 06:14:53,06:13:15,2018-01-20 06:14:53
2018-01-20,32,2018-01-20 05:43:07,05:38:50,2018-01-20 05:56:33
2018-01-20,33,2018-01-20 05:43:16,05:33:45,2018-01-20 02:00:00
2018-01-20,34,2018-01-20 06:33:15,06:24:15,2018-01-20 06:39:29
2018-01-21,14,2018-01-21 06:36:04,08:58:50,2018-01-21 07:47:01
2018-01-21,17,2018-01-21 03:50:08,05:48:35,2018-01-21 05:30:40
2018-01-21,20,2018-01-21 05:45:26,01:52:25,2018-01-21 00:53:14
2018-01-21,21,2018-01-21 04:46:17,05:07:10,2018-01-21 03:24:45
